[2024-06-28 21:42:17,761] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-06-28 21:42:17,820] INFO [Controller id=0 epoch=6] Sending LeaderAndIsr request to broker 0 with 53 become-leader and 0 become-follower partitions (state.change.logger)
[2024-06-28 21:42:17,825] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 53 partitions (state.change.logger)
[2024-06-28 21:42:18,364] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 53 partitions (state.change.logger)
[2024-06-28 21:42:18,398] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 6 as part of the become-leader transition for 53 partitions (state.change.logger)
[2024-06-28 21:42:18,416] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:18,444] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:18,474] INFO [Broker id=0] Leader location_update_topic-0 with topic id Some(ebIdHRdzT3S19ZNsjjNfsQ) starts at leader epoch 0 from offset 100000 with partition epoch 0, high watermark 100000, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:18,475] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:18,504] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:18,898] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:18,964] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,005] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,038] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,077] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,109] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
